relation1,relation2,comparison_type,pair1_word1,pair1_word2,pair2_word1,pair2_word2,mean_rating,num_ratings
3a,3a,within-subtype,candy,sweets,sofa,chair,3.75,12
1a,1a,within-subtype,dollar,currency,wheat,bread,4.72727272727,11
9a,9a,within-subtype,store,shopper,supermarket,groceries,5.58333333333,12
6a,6a,within-subtype,classic,trendy,integrity,dishonest,3.7,10
10a,10a,within-subtype,flashing,caution,green,go,6.58333333333,12
9a,9a,within-subtype,aquarium,fish,kitchen,food,5.8,10
7c,7c,within-subtype,driver,car,gardener,shovel,6.0,10
1a,4b,between-type,animal,carabao,hairy,bald,2.3,10
5a,10a,between-type,fire,heat,flag,nation,3.7,10
8a,8a,within-subtype,boredom,repetition,cold,sneeze,3.76923076923,13
4b,4b,within-subtype,hungry,satiated,ugly,pretty,5.07692307692,13
9a,9a,within-subtype,bathroom,toilet,classroom,students,5.7,10
8a,8a,within-subtype,injury,pain,stimulus,response,5.7,10
5a,5a,within-subtype,cherry,red,murderer,evil,5.36363636364,11
1a,1a,within-subtype,animal,pig,bread,wheat,4.45454545455,11
3a,3a,within-subtype,glass,cup,house,abode,6.09090909091,11
4b,4b,within-subtype,bright,dark,smart,stupid,5.3,10
2a,2a,within-subtype,dance,step,foot,toe,4.3,10
4c,4b,between-subtype,offend,appease,sleepy,energized,5.09090909091,11
9g,9a,between-subtype,adolescence,acne,hangar,airplane,2.8,10
2a,2b,between-subtype,shoe,sole,team,player,5.2,10
8a,8a,within-subtype,exercise,fatigue,heater,warmth,5.1,10
8a,8a,within-subtype,germs,sickness,hit,injury,5.3,10
2a,2b,between-subtype,bookcase,shelf,herd,antelopes,3.61538461538,13
10a,8a,between-type,green,go,question,answer,3.6,10
8a,8a,within-subtype,education,expertise,stimulus,response,4.53846153846,13
9a,9a,within-subtype,carton,milk,space,planets,4.90909090909,11
1a,6a,between-type,hair,brown,voice,mute,2.21428571429,14
4b,4b,within-subtype,hairy,bald,smart,stupid,6.7,10
4b,4b,within-subtype,love,apathy,tough,weak,3.7,10
1a,1a,within-subtype,color,red,politician,senator,6.2,10
4b,4b,within-subtype,hot,cold,sleepy,energized,5.88235294118,17
6a,6c,between-subtype,sight,invisible,sun,cold,4.1,10
2a,2a,within-subtype,computer,mouse,lips,mouth,3.23076923077,13
10a,10a,within-subtype,camera,distrust,doctor,diagnosis,2.0,10
8b,8a,between-subtype,dizzy,drunk,yelling,anger,4.66666666667,12
1a,1a,within-subtype,furniture,couch,wheat,bread,4.5,10
4b,1a,between-type,smart,stupid,weather,rain,1.9,10
9a,9a,within-subtype,school,student,water,ocean,4.3,10
5a,5a,within-subtype,apple,red,car,fast,4.76923076923,13
8b,8a,between-subtype,loneliness,socialize,run,sweat,2.36363636364,11
10a,10a,within-subtype,cloud,moisture,crown,royalty,3.81818181818,11
5a,8a,between-type,clay,malleable,disagreement,anger,2.5,10
10a,10a,within-subtype,love,valentine,thunder,storm,3.6,10
1a,1a,within-subtype,automobile,van,sweater,knit,3.7,10
4c,4b,between-subtype,criticize,praise,excited,bored,5.5,10
10a,10a,within-subtype,citation,violation,pregnancy,baby,4.8,10
5a,5a,within-subtype,athlete,fit,clay,malleable,5.1,10
2a,2b,between-subtype,cat,whiskers,pack,wolf,2.9,10
4b,4b,within-subtype,black,white,difficult,easy,5.8,10
8a,8a,within-subtype,cold,sneeze,sadness,tears,6.3,10
7c,7c,within-subtype,gardener,shovel,runner,sneakers,6.21428571429,14
6a,5a,between-type,charisma,bland,pizza,cheesy,2.5,10
9a,9a,within-subtype,forest,trees,hangar,airplane,5.1,10
3a,3a,within-subtype,spin,twirl,urban,city,4.54545454545,11
4b,4b,within-subtype,bald,hairy,beautiful,hideous,6.18181818182,11
7d,7c,between-subtype,paint,picture,trainer,treats,3.25,12
4b,4b,within-subtype,bad,good,excited,bored,6.18181818182,11
5a,5c,between-subtype,car,fast,soldier,war,2.3,10
7c,7c,within-subtype,doctor,thermometer,lawyer,books,5.54545454545,11
1a,1a,within-subtype,pet,dog,weapon,spear,6.5,10
5a,5a,within-subtype,dog,furry,heat,fire,3.90909090909,11
3a,9a,between-type,boat,ship,water,ocean,4.81818181818,11
7c,7c,within-subtype,gun,shooter,soldier,gun,4.1,10
10a,10c,between-subtype,green,go,song,sound,2.7,10
3a,3a,within-subtype,careful,cautious,raise,elevate,6.54545454545,11
7c,7c,within-subtype,doctor,thermometer,surgeon,scalpel,5.41666666667,12
10a,10a,within-subtype,alarm,action,thunder,lightning,3.69230769231,13
4b,4b,within-subtype,bald,hairy,dirty,clean,6.3,10
1e,1a,between-subtype,king,Henry,wheat,bread,4.6,10
4c,4b,between-subtype,beautify,desecrate,chilly,warm,3.9,10
10a,10a,within-subtype,citation,violation,green,go,3.5,10
4b,2a,between-type,big,small,fish,fin,1.6,10
4b,4b,within-subtype,hungry,satiated,smart,stupid,5.30769230769,13
6a,6a,within-subtype,heat,cold,liquid,solid,4.4,10
7c,7c,within-subtype,lawyer,books,librarian,books,2.63636363636,11
8a,8a,within-subtype,stimulus,response,yelling,anger,4.1,10
10c,10a,between-subtype,book,story,doctor,diagnosis,5.45454545455,11
4c,4b,between-subtype,eat,poop,tough,weak,1.5,10
1a,1a,within-subtype,clothing,shirt,mammal,porpoise,6.1,10
3a,3a,within-subtype,candy,sweets,pants,trousers,6.41176470588,17
3b,3a,between-subtype,love,adore,pants,trousers,5.54545454545,11
10a,10a,within-subtype,badge,authority,thunder,storm,3.8,10
3a,3a,within-subtype,bathroom,restroom,beautiful,pretty,6.0,10
6a,10a,between-type,careful,reckless,valentine,love,2.90909090909,11
10a,10a,within-subtype,citation,violation,thunder,storm,4.6,10
9a,9a,within-subtype,carton,milk,hangar,airplane,5.7,10
5a,5a,within-subtype,athlete,fit,pizza,cheesy,5.2,10
4b,4b,within-subtype,difficult,easy,tall,short,5.9,10
9a,9a,within-subtype,library,books,milk,carton,3.4,10
7c,7c,within-subtype,chemist,beaker,runner,sneakers,5.7,10
3a,3a,within-subtype,raise,elevate,tedious,monotonous,5.91666666667,12
5a,8a,between-type,pizza,cheesy,sadness,tears,3.90909090909,11
5a,5a,within-subtype,dog,furry,fire,hot,5.5,14
4b,3a,between-type,bad,good,pretty,beautiful,2.09090909091,11
6c,6a,between-subtype,day,darkness,liar,honest,5.4,10
3a,3a,within-subtype,dress,frock,music,tunes,5.36363636364,11
10a,10a,within-subtype,distrust,camera,surgery,hospital,1.4,10
6a,6a,within-subtype,beauty,unpleasant,speed,slow,5.0,10
2a,2a,within-subtype,fish,fin,zebra,stripes,6.1,10
6a,6a,within-subtype,object,intangible,violence,love,3.0,11
7c,7c,within-subtype,barber,scissors,gardener,trowel,6.23076923077,13
2a,2a,within-subtype,bird,feathers,bouquet,flower,6.0,11
1a,1a,within-subtype,clothing,shirt,sweater,knit,3.7,10
1a,1a,within-subtype,bush,astilbe,wheat,bread,2.27272727273,11
10a,10a,within-subtype,distrust,camera,help,cry,2.0,10
10c,10a,between-subtype,biography,life,surgery,hospital,3.41666666667,12
1a,1a,within-subtype,hair,brown,oak,tree,3.8,10
1a,1a,within-subtype,appliance,refrigerator,hair,brown,4.18181818182,11
5c,5a,between-subtype,pacifist,peace,steel,tough,5.3,10
6a,6a,within-subtype,ecstasy,sad,object,tangible,1.6,10
4b,4b,within-subtype,bright,dark,good,bad,5.8,10
6a,6a,within-subtype,honest,liar,object,tangible,1.5,10
3a,3b,between-subtype,cute,adorable,disdain,hatred,6.18181818182,11
7c,6a,between-type,chemist,beaker,object,intangible,1.3,10
9a,9a,within-subtype,garden,flower,supermarket,groceries,5.8,10
5a,5a,within-subtype,car,fast,pizza,cheesy,3.8,10
4b,4b,within-subtype,black,white,bright,dark,5.0,12
6c,6a,between-subtype,homework,fun,object,tangible,2.3,10
9a,9a,within-subtype,aquarium,fish,milk,carton,5.2,10
2a,2b,between-subtype,foot,toe,senate,senators,4.82352941176,17
5a,5c,between-subtype,baby,bald,scholar,intelligence,4.0,10
9a,9a,within-subtype,classroom,students,zoo,animals,6.6,10
2a,2b,between-subtype,bedroom,bed,flock,bird,4.72727272727,11
6a,6a,within-subtype,diseased,health,liar,honest,5.81818181818,11
9a,9a,within-subtype,milk,carton,refrigerator,food,5.1,10
9a,9a,within-subtype,cupboard,dishes,fish,aquarium,4.90909090909,11
4b,3a,between-type,hairy,bald,house,dwelling,1.7,10
4b,4b,within-subtype,big,small,difficult,easy,5.33333333333,12
8a,8a,within-subtype,learning,study,sweat,run,5.4,10
7c,7d,between-subtype,pitcher,baseball,row,boat,3.4,10
2b,2a,between-subtype,aquarium,fish,eye,lashes,5.2,10
5a,5a,within-subtype,flimsy,paper,pillow,soft,5.09090909091,11
7c,7c,within-subtype,chef,knife,gardener,trowel,6.58333333333,12
1a,1a,within-subtype,dog,poodle,weapon,spear,6.36363636364,11
2a,2a,within-subtype,bookcase,shelf,foot,toe,5.5,10
6a,6a,within-subtype,ecstasy,sad,solid,liquid,4.45454545455,11
3a,3a,within-subtype,clean,tidy,seat,chair,5.90909090909,11
7c,7c,within-subtype,doctor,thermometer,police,gun,6.5,10
1a,1a,within-subtype,car,mustang,furniture,couch,6.46153846154,13
4b,4b,within-subtype,dirty,clean,ugly,pretty,6.3,10
4b,4b,within-subtype,fast,slow,sleepy,energized,4.4,10
3a,10a,between-type,boat,ship,wrinkle,age,3.72727272727,11
10a,10a,within-subtype,buzzer,end,citation,violation,5.18181818182,11
2a,3a,between-type,building,wall,glass,cup,3.6,10
9a,9a,within-subtype,hive,bees,space,planets,5.90909090909,11
