relation1,relation2,comparison_type,pair1_word1,pair1_word2,pair2_word1,pair2_word2,forward_rating,forward_n,backward_rating,backward_n
10a,10b,between-subtype,license,permission,yawn,boredom,3.76,50,3.74,50
8d,8e,between-subtype,breathe,live,athlete,medal,2.74,50,2.76470588235,51
6e,6e,within-subtype,miser,splurge,miser,give,3.9,50,3.98,50
9h,9i,between-subtype,arrest,trial,foot,shoe,3.24,50,2.74509803922,51
9a,9a,within-subtype,farm,tractor,bakery,cake,4.78,50,4.47058823529,51
6h,6h,within-subtype,dress,naked,gild,plain,4.42,50,4.8,50
9a,9b,between-subtype,abbey,nun,restaurant,food,4.86,50,4.36,50
10d,10c,between-subtype,prescription,medication,documentary,event,3.76,50,3.62,50
9e,9i,between-subtype,equator,hemispheres,axle,wheel,4.46,50,4.38,50
8d,8d,within-subtype,wash,clean,buy,own,5.84,50,5.34,50
9b,9b,within-subtype,dairy,milk,mine,coal,5.3,50,4.76,50
10e,10e,within-subtype,anthropology,humans,oceanography,oceans,6.66,50,6.6,50
9f,3h,between-type,birthday,celebration,speed,movement,4.24,50,4.88,50
7f,7c,between-subtype,receipt,customer,pitcher,baseball,2.92,50,2.94117647059,51
10d,10d,within-subtype,pattern,dress,map,city,4.66,50,5.02,50
4e,1a,between-type,perplexed,certain,rodent,mouse,1.58,50,1.4,50
4b,4h,between-subtype,bright,dark,fracture,bone,1.88235294118,51,1.66,50
4g,4g,within-subtype,bright,dark,smiling,sad,5.42,50,5.26,50
7c,7g,between-subtype,musician,instrument,wall,paint,3.25490196078,51,3.0,50
8f,8d,between-subtype,glue,adhesion,shoot,kill,4.6,50,5.4,50
3c,4e,between-type,wet,saturated,tall,short,1.64,50,2.0,50
10f,10f,within-subtype,hat,hair,wrapper,package,5.42,50,4.9,50
1a,1a,within-subtype,vegetable,carrot,dog,chihuahua,6.54,50,6.36,50
3g,3g,within-subtype,pen,pencil,father,mother,4.68,50,4.34,50
4a,4d,between-subtype,young,old,forward,backward,5.96078431373,51,5.88,50
9h,9h,within-subtype,preview,movie,performance,applause,3.58,50,3.6,50
4a,4a,within-subtype,noise,silence,abrasive,smooth,6.13725490196,51,6.24,50
8h,8h,within-subtype,sunscreen,burns,water,thirst,5.66,50,4.70588235294,51
2b,3e,between-type,class,student,child,adult,2.14,50,2.1,50
5f,5f,within-subtype,round,roll,golden,gleam,4.66,50,4.88,50
5d,5f,between-subtype,provocative,controversy,hot,burn,4.58,50,4.48,50
3d,3b,between-subtype,exaggerate,lie,ennui,boredom,4.16,50,3.48,50
7e,7e,within-subtype,preach,disciple,perform,audience,5.42,50,5.26,50
10e,10e,within-subtype,mathematics,numbers,anatomy,body,6.3,50,5.84,50
4d,5g,between-type,forward,backward,sprint,fast,1.42,50,1.66,50
3d,3h,between-subtype,hurt,kill,acceleration,speed,4.05882352941,51,3.84,50
9g,9e,between-subtype,youth,backpack,margin,page,1.98039215686,51,2.06,50
8c,3c,between-type,water,shower,angry,enraged,2.88235294118,51,3.34,50
9c,9c,within-subtype,church,prayer,laboratory,experimenting,6.18,50,6.27450980392,51
2h,2j,between-subtype,mall,shops,widow,husband,1.74,50,1.72,50
5d,5d,within-subtype,drunk,intoxication,pensive,thought,4.9,50,4.72,50
7b,6h,between-type,salesperson,buyer,repair,damaged,3.4,50,3.54,50
6h,6c,between-subtype,repair,damaged,destitution,abundance,3.14,50,3.54,50
