sub_num,trial_num,trial_type,relation1,relation2,pair1_word1,pair1_word2,pair2_word1,pair2_word2,rating,RT
1,1,between-subtype,9h,9b,ingestion,digestion,mine,coal,1,7623
1,2,between-subtype,4a,4g,rich,poor,hard,simple,1,7019
1,3,between-subtype,9d,9b,kitchen,pot,dairy,milk,1,8010
1,4,between-subtype,6h,6g,discourage,confident,hurry,lazily,1,14199
1,5,between-subtype,5a,5b,fire,heat,volatile,combustible,4,6833
1,6,within-subtype,8a,8a,accident,damage,injury,pain,5,9784
1,7,between-subtype,2g,2a,house,bricks,bicycle,wheel,7,4386
1,8,between-subtype,9g,9e,adulthood,job,margin,paper,1,4330
1,9,between-type,7c,9h,shooter,gun,step,journey,1,5117
1,10,within-subtype,3e,3e,associate,partner,puppy,dog,1,4366
1,11,attention check,,,coincidence,,knowledgeable,,1,10734
1,12,between-subtype,2f,2d,church,sanctuary,party,guests,1,5534
1,13,between-subtype,6b,6e,inexorable,halted,immortal,die,1,5401
1,14,between-type,1c,6c,beverage,water,deceit,truth,1,7299
1,15,between-subtype,9d,9a,sew,needle,store,products,3,4699
1,16,within-subtype,6b,6b,irreparable,fixed,transparent,opaque,7,5084
1,17,within-subtype,8c,8c,remote,tv,mouse,computer,7,4152
1,18,within-subtype,1d,1d,utensils,forks,bedding,sheets,7,3849
1,19,between-subtype,10a,10d,crossbones,poison,outline,paper,1,4383
1,20,between-subtype,5c,5e,idiot,stupidity,tree,grow,1,4114
1,21,within-subtype,6h,6h,teach,ignorant,groom,unkempt,7,5768
1,22,attention check,,,anthropologist,,anthropologist,,7,4201
1,23,between-type,10c,4f,crown,king,freezing,warm,1,5900
1,24,within-subtype,6e,6e,miser,splurge,miser,give,1,4967
1,25,within-subtype,1e,1e,city,Memphis,planet,Earth,7,3950
1,26,between-subtype,4g,4h,enthusiastic,lazy,scratch,cd,1,6165
1,27,within-subtype,9e,9e,bank,river,shore,lake,2,5767
1,28,within-subtype,5b,5b,fragrant,smelled,wooden,burned,7,3935
1,29,between-subtype,6a,6g,baby,mature,cooperate,defiantly,4,7247
1,30,within-subtype,6b,6b,impermeable,penetrated,irremediable,fixed,4,6418
1,31,between-subtype,2a,2b,bird,wings,pack,wolf,1,7866
