sub_num,trial_num,trial_type,wordA,wordB,wordC,wordD,rating,RT
1,1,real,nurse,patient,frog,tadpole,2,8579
1,2,real,veil,face,password,access,3,7959
1,3,real,brain,neuron,computer,chip,4,7005
1,4,real,dog,mailman,cat,mouse,4,4791
1,5,filler,mall,shops,widow,husband,1,3804
1,6,real,bird,feathers,cat,whiskers,6,5462
1,7,real,foot,shoe,wall,painting,5,8021
1,8,real,lawyer,books,chemist,beakers,4,7924
1,9,attention check,one,two,three,four,7,7686
1,10,real,snail,shell,rabbit,burrow,3,9103
1,11,real,wedding,bride,aquarium,fish,5,5284
1,12,real,hat,head,disguise,identity,1,7486
1,13,filler,beverage,water,deceit,truth,1,5038
1,14,real,flock,bird,hangar,airplane,3,6854
1,15,filler,slavery,freedom,movie,scene,1,4009
1,16,real,egg,chicken,wine,vineyard,1,7958
1,17,filler,class,student,child,adult,1,4678
1,18,attention check,one,two,three,zero,1,4967
2,1,filler,mall,shops,widow,husband,1,8868
2,2,real,brain,neuron,computer,chip,7,5246
2,3,real,nurse,patient,frog,tadpole,1,5402
2,4,real,wedding,bride,aquarium,fish,5,4615
2,5,real,lawyer,books,chemist,beakers,6,4071
2,6,filler,slavery,freedom,movie,scene,4,4592
2,7,real,student,backpack,rabbit,burrow,2,4537
2,8,real,egg,chicken,wine,vineyard,5,4375
2,9,attention check,one,two,three,four,7,3342
2,10,filler,beverage,water,deceit,truth,2,4082
2,11,real,foot,shoe,wall,painting,4,4661
2,12,real,password,access,key,safe,2,4095
2,13,real,dog,mailman,cat,mouse,7,4054
2,14,real,hat,head,disguise,identity,4,4478
2,15,real,person,clothes,bird,feathers,6,3352
2,16,real,hive,bee,hangar,airplane,2,4117
2,17,filler,class,student,child,adult,1,3584
2,18,attention check,one,two,three,zero,1,2678
3,1,filler,class,student,child,adult,1,7877
3,2,real,flock,bird,hangar,airplane,1,4460
3,3,real,lawyer,books,chemist,beakers,7,3598
3,4,real,foot,shoe,wrist,bracelet,7,2837
3,5,real,snail,shell,rabbit,burrow,7,4955
3,6,real,cocoon,butterfly,wine,vineyard,2,4527
3,7,real,nurse,patient,mother,baby,7,2732
3,8,real,cat,mouse,horse,hay,3,4294
3,9,attention check,one,two,three,zero,1,3509
3,10,filler,mall,shops,widow,husband,1,4221
3,11,real,veil,face,key,safe,1,3054
3,12,filler,slavery,freedom,movie,scene,1,3981
3,13,real,hat,head,disguise,identity,1,3275
3,14,real,pride,lion,brain,neuron,7,4807
3,15,real,bird,feathers,cat,whiskers,3,3722
3,16,real,aquarium,fish,carton,milk,3,5246
3,17,filler,beverage,water,deceit,truth,1,3696
3,18,attention check,one,two,three,four,7,5090
4,1,filler,class,student,child,adult,1,7115
4,2,real,dog,mailman,cat,mouse,5,5639
4,3,real,veil,face,password,access,4,4857
4,4,filler,beverage,water,deceit,truth,1,4000
4,5,real,egg,chicken,wine,vineyard,7,6558
4,6,real,brain,neuron,computer,chip,6,23407
4,7,filler,mall,shops,widow,husband,1,4376
4,8,real,bird,feathers,cat,whiskers,7,4083
4,9,attention check,one,two,three,four,7,4083
4,10,real,hat,head,disguise,identity,3,23536
4,11,real,snail,shell,rabbit,burrow,6,7253
4,12,real,lawyer,books,chemist,beakers,7,3793
4,13,real,flock,bird,hangar,airplane,2,6623
4,14,real,wedding,bride,aquarium,fish,2,8483
4,15,filler,slavery,freedom,movie,scene,1,19729
4,16,real,nurse,patient,frog,tadpole,2,5516
4,17,real,foot,shoe,wall,painting,4,4320
4,18,attention check,one,two,three,zero,1,4283
5,1,real,pride,lion,brain,neuron,7,5177
5,2,real,cocoon,butterfly,egg,chicken,7,3081
5,3,real,flock,bird,hive,bee,7,3124
5,4,filler,class,student,child,adult,1,4876
5,5,real,wedding,bride,carton,milk,2,8484
5,6,filler,mall,shops,widow,husband,2,6251
5,7,real,lawyer,books,librarian,books,2,9012
5,8,filler,beverage,water,deceit,truth,1,5179
5,9,attention check,one,two,three,four,7,3112
5,10,real,veil,face,password,access,7,8048
5,11,real,person,clothes,cat,whiskers,5,5019
5,12,real,wrist,bracelet,wall,painting,7,5790
5,13,real,dog,mailman,horse,hay,4,4047
5,14,real,mother,baby,frog,tadpole,7,2389
5,15,real,mask,face,disguise,identity,7,3809
5,16,filler,slavery,freedom,movie,scene,1,3028
5,17,real,snail,shell,rabbit,burrow,4,5579
5,18,attention check,one,two,three,zero,1,3279
6,1,real,egg,chicken,wine,vineyard,4,11059
6,2,real,person,clothes,bird,feathers,6,7382
6,3,real,hive,bee,hangar,airplane,7,7002
6,4,filler,slavery,freedom,movie,scene,1,10181
6,5,filler,class,student,child,adult,1,8314
6,6,filler,beverage,water,deceit,truth,1,8623
6,7,real,hat,head,mask,face,7,8015
6,8,real,veil,face,key,safe,3,6377
6,9,attention check,one,two,three,zero,1,9483
6,10,real,pride,lion,computer,chip,1,13010
6,11,real,foot,shoe,wrist,bracelet,7,12722
6,12,real,cat,mouse,horse,hay,5,19628
6,13,real,student,backpack,rabbit,burrow,1,9335
6,14,filler,mall,shops,widow,husband,2,9891
6,15,real,nurse,patient,frog,tadpole,1,10401
6,16,real,aquarium,fish,carton,milk,6,6863
6,17,real,lawyer,books,chemist,beakers,4,7653
